Item Code,Item,Description,Food group,
2517,Millet and products,"Default composition: 79 Millet, 80 Flour, millet, 81 Bran, millet",Grains (Starchy staples),
2899,Miscellaneous,,Miscellaneous,Misc item - excluding infant food. Include in results so can note data gap? (e.g. 17 countries have up to 2.3% daily calories from this 'item') 
2767,"Molluscs, Other","Default composition: 1562 Mlluscs Frsh, 1563 Molsc Frozen, 1564 Molsc Cured, 1565 Molsc Canned, 1566 Molsc Meals",Meats,
2732,Mutton & Goat Meat,"Default composition: 977 Meat, sheep, 1017 Meat, goat",Meats,
2551,Nuts and products,"Default composition: 216 Brazil nuts, with shell, 217 Cashew nuts, with shell, 220 Chestnut, 221 Almonds, with shell, 222 Walnuts, with shell, 223 Pistachios, 224 Kola nuts, 225 Hazelnuts, with shell, 226 Areca nuts, 229 Brazil nuts, shelled, 230 Cashew n","Legumes, Nuts & Seeds",
2516,Oats,"Default composition: 75 Oats, 76 Oats rolled, 77 Bran, oats",Grains (Starchy staples),
2736,"Offals, Edible","Default composition: 868 Offals, edible, cattle, 878 Liver prep., 948 Offals, edible, buffaloes, 978 Offals, sheep,edible, 1018 Offals, edible, goats, 1036 Offals, pigs, edible, 1059 Offals, liver chicken, 1074 Offals, liver geese, 1075 Offals, liver duck",Meats,
2586,"Oilcrops Oil, Other","Default composition: 264 Butter of karite nuts, 266 Oil, castor beans, 276 Oil, tung nuts, 278 Oil, jojoba, 281 Oil, safflower, 297 Oil, poppy, 306 Vegetable tallow, 307 Oil, stillingia, 313 Oil, kapok, 334 Oil, linseed, 337 Oil, hempseed, 340 Oil, vegeta",Fats & Oils,
2570,"Oilcrops, Other","Default composition: 263 Karite nuts (sheanuts), 265 Castor oil seed, 275 Tung nuts, 277 Jojoba seed, 280 Safflower seed, 296 Poppy seed, 299 Melonseed, 305 Tallowtree seed, 310 Kapok fruit, 311 Kapokseed in shell, 312 Kapokseed shelled, 333 Linseed, 336 ","Legumes, Nuts & Seeds",
2580,Olive Oil,"Default composition: 261 Oil, olive, virgin, 274 Oil, olive residues",Fats & Oils,
2563,Olives (including preserved),"Default composition: 260 Olives, 262 Olives preserved","Legumes, Nuts & Seeds",
2602,Onions,"Default composition: 403 Onions, dry",Vegetables,
2611,"Oranges, Mandarines","Default composition: 490 Oranges, 491 Juice, orange, single strength, 492 Juice, orange, concentrated, 495 Tangerines, mandarins, clementines, satsumas, 496 Juice, tangerine",Fruits,
2562,Palm kernels,"Default composition: 254 Oil, palm fruit, 256 Palm kernels",Fats & Oils,
2577,Palm Oil,"Default composition: 257 Oil, palm, 1276 Fatty acids, 1277 Fatty substance residues",Fats & Oils,
2576,Palmkernel Oil,"Default composition: 258 Oil, palm kernel",Fats & Oils,
2547,Peas,"Default composition: 187 Peas, dry","Legumes, Nuts & Seeds",
2763,Pelagic Fish,"Default composition: 1527 Pelagic Frsh, 1528 Pelgc Fz Whl, 1529 Pelgc Fillet, 1530 Pelgc Fz Flt, 1531 Pelgc Cured, 1532 Pelgc Canned, 1533 Pelgc Pr nes, 1534 Pelgc Meals",Meats,
2640,Pepper,Default composition: 687 Pepper (piper spp.),Spices,
2733,Pigmeat,"Default composition: 1035 Meat, pig, 1038 Meat, pork, 1039 Bacon and ham, 1041 Meat, pig sausages, 1042 Meat, pig, preparations",Meats,
2641,Pimento,"Default composition: 689 Chillies and peppers, dry",Spices,
2618,Pineapples and products,"Default composition: 574 Pineapples, 575 Pineapples canned, 576 Juice, pineapple, 580 Juice, pineapple, concentrated",Fruits,
2616,Plantains,Default composition: 489 Plantains,Grains (Starchy staples),
2501,Population,,Population,
2531,Potatoes and products,"Default composition: 116 Potatoes, 117 Flour, potatoes, 118 Potatoes, frozen, 119 Starch, potatoes, 121 Tapioca, potatoes",Grains (Starchy staples),
2734,Poultry Meat,"Default composition: 1058 Meat, chicken, 1060 Fat, liver prepared (foie gras), 1061 Meat, chicken, canned, 1069 Meat, duck, 1073 Meat, goose and guinea fowl, 1080 Meat, turkey",Meats,
2549,"Pulses, Other and products","Default composition: 181 Broad beans, horse beans, dry, 191 Chick peas, 195 Cow peas, dry, 197 Pigeon peas, 201 Lentils, 203 Bambara beans, 205 Vetches, 210 Lupins, 211 Pulses, nes, 212 Flour, pulses, 213 Bran, pulses","Legumes, Nuts & Seeds",
2574,Rape and Mustard Oil,"Default composition: 271 Oil, rapeseed, 293 Oil, mustard",Fats & Oils,
2558,Rape and Mustardseed,"Default composition: 270 Rapeseed, 292 Mustard seed, 295 Flour, mustard","Legumes, Nuts & Seeds",Could be used as spice but not in list of normal spices… small quantity anyway 
2805,Rice (Milled Equivalent),"Default composition: 27 Rice, paddy, 28 Rice, husked, 29 Rice, milled/husked, 31 Rice, milled, 32 Rice, broken, 33 Gluten, rice, 34 Starch, rice, 35 Bran, rice, 38 Flour, rice",Grains (Starchy staples),
2581,Ricebran Oil,"Default composition: 36 Oil, rice bran",Fats & Oils,
2534,"Roots, Other","Default composition: 135 Yautia (cocoyam), 136 Taro (cocoyam), 149 Roots and tubers, nes, 150 Flour, roots and tubers nes, 151 Roots and tubers dried",Grains (Starchy staples),
2515,Rye and products,"Default composition: 71 Rye, 72 Flour, rye, 73 Bran, rye",Grains (Starchy staples),
2561,Sesame seed,Default composition: 289 Sesame seed,"Legumes, Nuts & Seeds",
2579,Sesameseed Oil,"Default composition: 290 Oil, sesame",Fats & Oils,
2518,Sorghum and products,"Default composition: 83 Sorghum, 84 Flour, sorghum, 85 Bran, sorghum",Grains (Starchy staples),
2571,Soyabean Oil,"Default composition: 237 Oil, soybean",Fats & Oils,
2555,Soyabeans,"Default composition: 236 Soybeans, 239 Soya sauce, 240 Soya paste, 241 Soya curd","Legumes, Nuts & Seeds",
2645,"Spices, Other","Default composition: 692 Vanilla, 693 Cinnamon (canella), 702 Nutmeg, mace and cardamoms, 711 Anise, badian, fennel, coriander, 720 Ginger, 723 Spices, nes",Spices,
2542,Sugar (Raw Equivalent),"Default composition: 158 Sugar, cane, raw, centrifugal, 159 Sugar, beet, raw, centrifugal, 162 Sugar Raw Centrifugal, 164 Sugar refined, 168 Sugar confectionery, 171 Sugar flavoured",Sugars,
2537,Sugar beet,Default composition: 157 Sugar beet,Sugars,
2536,Sugar cane,Default composition: 156 Sugar cane,Sugars,
2541,Sugar non-centrifugal,Default composition: 163 Sugar non-centrifugal,Sugars,
2557,Sunflower seed,Default composition: 267 Sunflower seed,"Legumes, Nuts & Seeds",
2573,Sunflowerseed Oil,"Default composition: 268 Oil, sunflower",Fats & Oils,
2533,Sweet potatoes,Default composition: 122 Sweet potatoes,Grains (Starchy staples),
2543,"Sweeteners, Other","Default composition: 154 Fructose chemically pure, 155 Maltose chemically pure, 160 Maple sugar and syrups, 161 Sugar crops, nes, 165 Molasses, 166 Fructose and syrup, other, 167 Sugar, nes, 172 Glucose and dextrose, 173 Lactose, 175 Isoglucose, 633 Bever",Sugars,
2635,Tea (including mate),"Default composition: 667 Tea, 671 Maté, 672 Tea, mate extracts",Spices,
2601,Tomatoes and products,"Default composition: 388 Tomatoes, 389 Juice, tomato, concentrated, 390 Juice, tomato, 391 Tomatoes, paste, 392 Tomatoes, peeled",Fruits,
2605,"Vegetables, Other","Default composition: 358 Cabbages and other brassicas, 366 Artichokes, 367 Asparagus, 372 Lettuce and chicory, 373 Spinach, 378 Cassava leaves, 393 Cauliflowers and broccoli, 394 Pumpkins, squash and gourds, 397 Cucumbers and gherkins, 399 Eggplants (aube",Vegetables,
2511,Wheat and products,"Default composition: 15 Wheat, 16 Flour, wheat, 17 Bran, wheat, 18 Macaroni, 19 Germ, wheat, 20 Bread, 21 Bulgur, 22 Pastry, 23 Starch, wheat, 24 Gluten, wheat, 41 Cereals, breakfast, 110 Wafers, 114 Mixes and doughs, 115 Food preparations, flour, malt ex",Grains (Starchy staples),
2655,Wine,"Default composition: 564 Wine, 565 Vermouths & similar",Alcohol,
2535,Yams,Default composition: 137 Yams,Grains (Starchy staples),
